remaining_hours,created_hours_ago,distance_km,travel_hours,slack_hours,feasibility_ratio,perishability_risk,ideal_window,service_value,estimated_meals,quantity_confidence,demand_pressure,nearby_density,type_density,ngo_success_rate,ngo_open_load,ngo_performance,ngo_verified,donor_reliability,target_priority,pickup_success_probability
0.4,3.46,17.18,0.78,-1.04,0.35,0.82,4.0,1.0,177.93,0.62,0.89,8,9,0.77,0.957,0.926,0.0,0.613,57.2,0.24
7.67,2.49,0.05,0.0,6.72,21.91,0.58,6.0,0.88,91.19,0.64,0.366,17,5,0.731,0.89,0.976,0.0,0.624,52.1,0.411
11.1,5.22,5.22,0.19,10.27,20.56,0.35,8.0,0.55,52.64,0.56,0.61,3,8,0.89,0.417,0.669,0.0,0.932,46.1,0.387
3.1,4.32,0.7,0.03,2.05,8.16,0.58,6.0,0.88,47.24,0.67,0.554,2,4,0.955,0.449,0.63,1.0,0.38,58.2,0.564
0.53,7.65,13.19,0.51,-0.9,0.62,0.35,8.0,0.55,138.86,0.85,0.522,7,9,0.8,0.288,0.467,0.0,0.933,47.2,0.321
4.25,0.92,12.33,0.66,2.79,4.21,0.82,4.0,1.0,170.49,0.56,0.173,9,3,0.798,0.672,0.641,1.0,0.479,54.5,0.448
3.18,3.6,9.88,0.53,1.56,3.61,0.58,6.0,0.88,157.43,0.93,0.053,8,2,0.863,0.794,0.948,0.0,0.421,55.6,0.339
6.05,4.26,11.06,0.43,5.07,7.76,0.35,8.0,0.55,18.38,0.63,0.816,18,5,0.834,0.911,0.76,0.0,0.975,36.1,0.31
3.77,4.07,11.37,0.62,2.17,3.89,0.82,4.0,1.0,143.09,0.74,0.817,13,4,0.539,0.621,0.68,0.0,0.965,65.5,0.53
6.57,4.06,5.8,0.27,5.29,10.6,0.35,8.0,0.55,8.48,0.63,0.592,1,11,0.945,0.649,0.641,0.0,0.961,46.6,0.352
3.41,1.26,2.1,0.11,2.63,7.41,1.0,2.0,0.95,179.31,0.88,0.374,2,11,0.618,0.312,0.877,1.0,0.375,61.7,0.609
5.33,3.6,17.99,0.86,3.5,4.4,0.82,4.0,1.0,176.67,0.99,0.396,16,5,0.841,0.407,0.415,1.0,0.556,59.8,0.597
2.22,0.25,4.76,0.22,0.99,3.89,1.0,2.0,0.95,34.51,0.65,0.81,8,1,0.597,0.841,0.719,0.0,0.861,65.7,0.47
8.64,4.36,1.81,0.08,7.52,20.09,0.58,6.0,0.88,57.52,0.95,0.138,11,5,0.843,0.137,0.455,0.0,0.417,49.2,0.417
4.06,0.75,2.86,0.1,2.95,9.02,0.58,6.0,0.88,46.07,0.7,0.226,4,11,0.88,0.47,0.823,0.0,0.457,57.8,0.473
7.43,0.07,9.41,0.45,6.05,9.29,0.82,4.0,1.0,140.17,0.63,0.57,2,7,0.562,0.667,0.512,1.0,0.567,51.5,0.501
2.81,4.09,16.01,0.64,1.7,2.84,0.58,6.0,0.88,109.74,0.55,0.159,7,12,0.584,0.128,0.507,0.0,0.959,52.1,0.504
7.49,3.29,13.16,0.53,6.6,8.51,0.82,4.0,1.0,40.83,0.98,0.596,7,12,0.509,0.696,0.64,1.0,0.48,46.6,0.485
4.82,0.75,7.4,0.3,3.69,7.42,1.0,2.0,0.95,80.93,0.64,0.653,7,7,0.637,0.87,0.898,0.0,0.659,54.0,0.381
0.38,3.09,1.11,0.04,0.04,0.97,0.58,6.0,0.88,83.66,0.68,0.443,10,3,0.6,0.177,0.846,1.0,0.845,78.7,0.694
3.12,1.52,3.62,0.14,2.02,6.37,0.58,6.0,0.88,173.5,0.67,0.506,15,3,0.459,0.234,0.682,0.0,0.971,64.1,0.54
1.14,3.19,9.4,0.38,0.28,1.56,0.82,4.0,1.0,119.18,0.91,0.759,1,2,0.751,0.885,0.54,1.0,0.509,61.8,0.565
4.84,4.3,0.06,0.0,4.31,13.83,0.82,4.0,1.0,124.76,0.8,0.59,1,8,0.553,0.108,0.578,1.0,0.508,67.5,0.624
7.82,8.46,10.17,0.47,6.78,9.54,0.35,8.0,0.55,113.18,0.95,0.358,11,6,0.7,0.241,0.593,0.0,0.621,42.9,0.421
3.26,0.34,7.39,0.4,2.21,4.35,1.0,2.0,0.95,97.23,0.88,0.147,18,8,0.831,0.221,0.524,1.0,0.411,58.5,0.604
1.69,2.5,10.6,0.47,0.79,2.06,0.35,8.0,0.55,62.66,0.66,0.163,9,10,0.735,0.629,0.841,0.0,0.65,51.5,0.361
5.12,1.1,17.86,0.69,3.43,4.92,1.0,2.0,0.95,19.82,0.78,0.268,9,1,0.676,0.349,0.607,1.0,0.7,48.0,0.546
3.79,0.46,14.8,0.73,2.77,3.51,1.0,2.0,0.95,33.93,0.92,0.238,10,8,0.482,0.449,0.759,0.0,0.424,55.0,0.381
7.99,2.88,12.38,0.47,7.13,9.74,0.58,6.0,0.88,69.3,0.63,0.083,6,11,0.897,0.42,0.449,0.0,0.483,38.3,0.302
5.35,0.77,12.85,0.51,3.84,6.22,0.82,4.0,1.0,96.49,0.96,0.612,11,8,0.533,0.997,0.709,0.0,0.951,48.8,0.389
3.46,2.33,3.85,0.15,2.4,6.92,0.35,8.0,0.55,5.56,0.73,0.407,18,8,0.941,0.875,0.467,0.0,0.918,41.2,0.375
3.23,0.9,11.69,0.47,1.82,3.94,1.0,2.0,0.95,11.4,0.63,0.882,5,4,0.931,0.508,0.752,0.0,0.502,53.7,0.392
1.69,0.76,2.45,0.12,0.96,3.6,1.0,2.0,0.95,153.34,0.64,0.813,8,12,0.787,0.518,0.762,0.0,0.616,79.5,0.485
4.57,4.51,17.87,0.84,3.45,3.84,0.58,6.0,0.88,4.05,0.56,0.682,1,12,0.466,0.322,0.839,0.0,0.402,37.6,0.404
2.61,1.97,11.66,0.63,1.19,2.66,1.0,2.0,0.95,174.42,0.56,0.192,12,6,0.651,0.115,0.93,1.0,0.824,62.8,0.567
4.64,2.56,8.58,0.37,3.25,6.44,0.82,4.0,1.0,15.64,0.63,0.775,17,10,0.868,0.314,0.672,1.0,0.644,50.5,0.473
8.46,2.53,11.46,0.61,6.98,8.81,0.58,6.0,0.88,50.96,0.62,0.409,4,4,0.669,0.798,0.697,1.0,0.583,39.5,0.402
5.96,1.68,0.75,0.03,5.15,15.68,0.82,4.0,1.0,11.44,0.64,0.44,18,8,0.778,0.787,0.41,0.0,0.429,46.2,0.38
4.81,0.59,9.51,0.35,3.43,6.87,1.0,2.0,0.95,133.45,0.67,0.747,6,9,0.953,0.498,0.94,0.0,0.588,62.6,0.462
2.41,0.57,12.11,0.62,1.2,2.48,1.0,2.0,0.95,122.67,0.88,0.546,10,7,0.608,0.021,0.91,0.0,0.582,70.9,0.547
1.09,4.23,4.53,0.2,0.61,1.98,0.82,4.0,1.0,71.45,0.98,0.65,6,6,0.951,0.374,0.569,0.0,0.468,76.2,0.549
3.46,4.52,5.29,0.19,2.25,6.41,0.58,6.0,0.88,6.14,0.59,0.408,14,5,0.907,0.513,0.957,0.0,0.836,56.4,0.434
6.29,1.25,13.06,0.68,4.84,6.11,0.82,4.0,1.0,126.1,0.85,0.373,10,11,0.789,0.993,0.569,0.0,0.927,45.2,0.39
2.13,3.5,10.57,0.39,1.39,2.88,0.58,6.0,0.88,131.66,0.91,0.816,3,2,0.827,0.455,0.671,0.0,0.693,69.2,0.465
3.6,0.48,3.9,0.18,2.9,6.79,1.0,2.0,0.95,42.18,0.95,0.862,3,2,0.937,0.612,0.693,1.0,0.975,64.3,0.641
9.03,6.35,9.44,0.52,7.49,10.38,0.35,8.0,0.55,39.15,0.56,0.82,4,6,0.863,0.112,0.474,0.0,0.504,39.6,0.384
3.29,2.53,17.62,0.92,1.5,2.59,0.35,8.0,0.55,75.96,0.55,0.64,7,7,0.645,0.792,0.478,0.0,0.398,46.3,0.378
1.35,1.96,4.16,0.18,0.63,2.55,0.58,6.0,0.88,6.69,0.61,0.997,7,3,0.882,0.158,0.525,0.0,0.396,62.7,0.458
1.21,2.28,0.66,0.03,0.31,3.18,0.35,8.0,0.55,25.15,0.79,0.944,2,6,0.784,0.778,0.596,1.0,0.939,66.1,0.631
3.02,0.26,13.43,0.6,1.45,3.18,1.0,2.0,0.95,169.11,0.97,0.881,2,9,0.919,0.361,0.631,0.0,0.865,67.6,0.504
1.16,8.28,3.83,0.14,0.12,2.37,0.35,8.0,0.55,47.22,0.7,0.099,14,9,0.742,0.436,0.463,1.0,0.617,59.0,0.6
7.39,3.67,5.23,0.19,6.85,13.69,0.82,4.0,1.0,56.11,0.8,0.804,15,4,0.632,0.237,0.9,0.0,0.607,55.7,0.473
0.63,1.48,8.13,0.33,-0.46,0.93,1.0,2.0,0.95,10.45,0.72,0.586,3,5,0.601,0.182,0.409,1.0,0.975,53.8,0.468
8.9,5.06,6.77,0.26,8.14,14.59,0.35,8.0,0.55,100.38,0.82,0.62,15,2,0.921,0.296,0.71,1.0,0.715,50.5,0.543
2.71,0.5,0.38,0.02,2.18,7.32,0.82,4.0,1.0,112.14,0.99,0.235,6,4,0.507,0.839,0.868,0.0,0.535,57.4,0.453
6.64,8.46,0.99,0.04,6.33,17.03,0.35,8.0,0.55,101.31,0.62,0.658,15,7,0.965,0.031,0.656,0.0,0.545,57.4,0.506
2.68,2.93,16.34,0.67,1.0,2.63,0.82,4.0,1.0,94.6,0.85,0.583,1,5,0.889,0.897,0.957,0.0,0.968,59.3,0.443
4.16,4.86,15.28,0.78,2.63,3.68,0.35,8.0,0.55,65.85,0.85,0.462,9,2,0.865,0.382,0.619,1.0,0.747,55.0,0.515
9.37,0.91,14.95,0.56,7.91,10.3,0.35,8.0,0.55,145.69,0.69,0.37,4,5,0.897,0.777,0.631,0.0,0.502,40.2,0.301
6.08,0.32,0.53,0.02,5.4,16.43,0.58,6.0,0.88,41.82,0.55,0.86,14,10,0.657,0.885,0.436,0.0,0.424,50.6,0.34
0.89,2.96,14.66,0.69,-0.87,0.86,0.82,4.0,1.0,154.09,0.57,0.113,17,1,0.774,0.279,0.57,0.0,0.89,57.0,0.335
6.52,2.32,15.69,0.57,5.15,7.09,0.82,4.0,1.0,113.6,0.57,0.4,9,5,0.459,0.495,0.657,1.0,0.596,48.3,0.549
5.54,3.37,7.41,0.38,4.79,7.59,0.82,4.0,1.0,5.46,0.91,0.759,16,12,0.781,0.474,0.623,0.0,0.969,51.0,0.492
4.31,0.62,7.15,0.31,3.3,6.53,1.0,2.0,0.95,13.95,0.64,0.243,8,2,0.947,0.954,0.582,0.0,0.478,45.5,0.316
6.42,0.74,0.19,0.01,5.4,17.83,0.35,8.0,0.55,31.24,0.6,0.623,1,7,0.51,0.75,0.538,1.0,0.433,46.5,0.458
3.79,1.3,8.05,0.3,2.78,5.83,0.58,6.0,0.88,56.66,0.82,0.74,6,10,0.621,0.141,0.629,0.0,0.963,53.3,0.456
1.57,0.49,4.5,0.24,0.68,2.66,1.0,2.0,0.95,21.27,0.61,0.49,16,11,0.722,0.915,0.444,0.0,0.753,57.6,0.455
1.08,0.89,9.35,0.34,0.34,1.57,0.82,4.0,1.0,99.21,0.88,0.517,15,4,0.852,0.867,0.534,0.0,0.902,68.2,0.434
4.09,2.27,10.3,0.46,2.75,5.05,0.58,6.0,0.88,89.72,0.87,0.567,14,7,0.811,0.994,0.663,0.0,0.604,50.4,0.324
6.13,7.12,15.48,0.85,4.38,5.11,0.35,8.0,0.55,68.95,0.61,0.676,6,3,0.569,0.349,0.791,0.0,0.975,47.0,0.454
4.35,1.21,8.05,0.42,3.45,5.65,1.0,2.0,0.95,103.36,0.88,0.547,6,2,0.97,0.139,0.729,1.0,0.826,69.3,0.651
2.5,4.13,9.75,0.38,1.13,3.42,0.58,6.0,0.88,171.65,0.61,0.923,11,1,0.954,0.692,0.533,1.0,0.964,70.5,0.628
6.28,2.0,10.9,0.41,5.1,8.26,0.58,6.0,0.88,100.53,0.58,0.13,12,8,0.782,0.508,0.958,0.0,0.788,48.3,0.392
2.03,2.42,8.06,0.35,0.97,2.9,0.82,4.0,1.0,175.04,0.63,0.937,15,5,0.652,0.078,0.756,1.0,0.662,77.6,0.66
6.48,2.55,7.86,0.34,5.17,9.39,0.82,4.0,1.0,150.99,0.61,0.54,7,8,0.977,0.038,0.773,1.0,0.779,56.9,0.612
2.99,3.08,15.89,0.64,1.36,3.02,0.82,4.0,1.0,136.49,0.73,0.741,11,11,0.692,0.038,0.79,0.0,0.526,63.8,0.539
8.15,1.81,3.29,0.14,7.37,16.63,0.58,6.0,0.88,72.14,0.61,0.835,10,3,0.788,0.634,0.477,1.0,0.847,58.6,0.515
4.26,3.97,10.31,0.54,3.13,4.79,0.82,4.0,1.0,48.41,0.86,0.92,6,9,0.854,0.722,0.941,0.0,0.926,59.9,0.412
3.24,2.61,15.63,0.77,1.77,2.89,0.82,4.0,1.0,141.14,0.72,0.262,17,2,0.747,0.391,0.612,1.0,0.677,66.7,0.649
0.49,2.15,8.78,0.35,-0.81,0.7,0.58,6.0,0.88,41.91,0.64,0.647,4,11,0.924,0.824,0.443,0.0,0.926,46.2,0.21
4.08,3.12,10.48,0.51,3.29,4.74,0.82,4.0,1.0,151.26,0.64,0.342,11,5,0.69,0.327,0.59,0.0,0.486,54.8,0.447
6.2,2.12,15.23,0.66,5.09,6.14,0.82,4.0,1.0,77.87,0.93,0.094,9,3,0.819,0.643,0.463,0.0,0.372,48.1,0.357
3.93,1.18,10.11,0.42,2.55,5.1,1.0,2.0,0.95,136.88,0.55,0.393,8,9,0.729,0.856,0.602,0.0,0.911,54.9,0.421
4.99,8.41,15.55,0.65,3.74,4.99,0.35,8.0,0.55,136.26,0.79,0.316,6,3,0.711,0.338,0.596,1.0,0.691,45.3,0.516
7.64,2.13,12.83,0.53,6.71,8.68,0.58,6.0,0.88,24.94,0.98,0.915,3,12,0.677,0.332,0.479,0.0,0.906,42.1,0.445
6.2,3.89,15.81,0.84,4.91,5.21,0.58,6.0,0.88,116.39,0.92,0.992,4,6,0.91,0.069,0.403,1.0,0.653,54.2,0.585
6.54,1.64,1.81,0.09,5.48,14.86,0.35,8.0,0.55,95.41,0.72,0.607,16,3,0.715,0.85,0.974,0.0,0.617,47.8,0.394
6.23,1.03,0.11,0.01,5.53,17.31,0.58,6.0,0.88,133.5,0.63,0.4,7,2,0.729,0.805,0.5,0.0,0.814,47.8,0.327
4.69,3.87,11.61,0.48,3.43,5.65,0.82,4.0,1.0,12.5,0.88,0.891,17,4,0.67,0.49,0.518,1.0,0.567,52.2,0.543
6.13,0.81,8.21,0.32,4.8,9.15,0.35,8.0,0.55,87.45,0.69,0.759,12,9,0.783,0.484,0.62,0.0,0.555,47.6,0.392
4.61,5.8,4.34,0.23,4.08,7.95,0.35,8.0,0.55,156.69,0.87,0.962,16,3,0.484,0.687,0.515,0.0,0.933,56.4,0.496
2.03,0.42,10.38,0.44,0.82,2.57,1.0,2.0,0.95,133.9,0.95,0.958,14,6,0.798,0.585,0.771,0.0,0.698,70.7,0.543
6.33,4.65,4.4,0.19,5.13,11.72,0.58,6.0,0.88,38.17,0.8,0.343,14,2,0.709,0.645,0.828,1.0,0.488,54.6,0.475
3.29,0.61,4.57,0.18,2.2,6.21,1.0,2.0,0.95,110.8,0.88,0.221,15,10,0.887,0.861,0.655,0.0,0.71,55.0,0.358
2.61,5.95,8.43,0.36,1.58,3.68,0.58,6.0,0.88,22.03,0.77,0.901,11,3,0.757,0.558,0.931,0.0,0.432,54.5,0.425
1.04,0.83,13.13,0.52,0.22,1.2,1.0,2.0,0.95,35.54,0.57,0.092,18,8,0.771,0.94,0.913,1.0,0.57,54.6,0.506
6.46,2.39,4.26,0.18,5.24,12.19,0.58,6.0,0.88,144.17,0.97,0.801,2,4,0.459,0.978,0.537,1.0,0.757,49.6,0.509
1.35,0.48,15.03,0.77,0.15,1.21,0.58,6.0,0.88,131.58,0.95,0.874,1,3,0.791,0.167,0.938,1.0,0.768,64.3,0.578
6.33,4.86,3.47,0.14,5.77,12.92,0.58,6.0,0.88,2.87,0.74,0.497,7,11,0.765,0.093,0.961,0.0,0.601,47.9,0.462
1.42,0.3,12.36,0.49,0.29,1.69,1.0,2.0,0.95,85.05,0.85,0.101,3,2,0.51,0.403,0.475,0.0,0.376,60.9,0.388
5.52,2.93,16.66,0.65,3.83,5.52,0.82,4.0,1.0,37.24,0.83,0.743,2,5,0.753,0.431,0.596,0.0,0.766,52.2,0.478
7.46,0.73,13.76,0.66,6.46,7.39,0.58,6.0,0.88,52.63,0.91,0.699,17,3,0.939,0.86,0.734,1.0,0.969,42.3,0.436
0.47,3.63,3.49,0.13,-0.76,0.98,0.82,4.0,1.0,64.3,0.72,0.801,1,4,0.829,0.569,0.6,1.0,0.869,68.4,0.446
1.67,2.46,7.63,0.35,0.79,2.39,0.35,8.0,0.55,67.27,0.69,0.928,7,1,0.587,0.075,0.831,0.0,0.366,66.0,0.55
1.72,5.42,8.63,0.37,0.86,2.39,0.35,8.0,0.55,31.61,0.83,0.471,3,7,0.676,0.591,0.639,0.0,0.43,53.6,0.415
2.11,0.61,15.55,0.59,0.69,2.24,1.0,2.0,0.95,116.28,0.65,0.725,10,1,0.582,0.125,0.757,1.0,0.953,71.9,0.699
4.46,7.86,5.55,0.3,3.53,6.86,0.35,8.0,0.55,122.52,1.0,0.403,14,3,0.951,0.251,0.888,0.0,0.877,53.4,0.457
0.58,0.18,2.13,0.08,0.15,1.35,1.0,2.0,0.95,38.89,0.91,0.75,14,9,0.572,0.449,0.56,0.0,0.658,76.6,0.478
3.01,1.8,12.06,0.54,2.09,3.38,1.0,2.0,0.95,7.43,0.87,0.975,2,8,0.495,0.508,0.637,0.0,0.505,49.4,0.359
5.34,1.8,5.18,0.19,4.09,9.89,1.0,2.0,0.95,89.58,0.64,0.431,4,12,0.554,0.017,0.652,1.0,0.685,58.3,0.578
8.19,5.27,8.93,0.45,7.01,10.24,0.35,8.0,0.55,61.41,1.0,0.813,7,10,0.663,0.823,0.933,1.0,0.931,42.8,0.512
9.53,0.74,10.53,0.45,8.12,11.91,0.35,8.0,0.55,126.51,0.76,0.08,9,7,0.67,0.1,0.96,0.0,0.826,43.9,0.38
7.78,1.14,4.54,0.25,6.72,12.97,0.35,8.0,0.55,106.23,0.79,0.944,3,12,0.748,0.7,0.81,1.0,0.712,47.4,0.5
1.98,0.42,4.6,0.19,1.51,3.67,1.0,2.0,0.95,106.96,0.84,0.618,16,7,0.865,0.529,0.686,0.0,0.758,72.6,0.525
4.54,0.87,10.02,0.48,3.46,5.47,1.0,2.0,0.95,70.0,0.59,0.255,10,1,0.707,0.571,0.544,0.0,0.83,57.5,0.413
5.68,6.02,17.92,0.8,4.62,4.94,0.58,6.0,0.88,128.64,0.96,0.207,14,11,0.524,0.214,0.43,1.0,0.866,50.3,0.515
2.47,1.86,11.89,0.48,1.2,2.98,1.0,2.0,0.95,119.56,0.67,0.857,18,2,0.575,0.684,0.836,1.0,0.918,76.4,0.579
11.08,6.45,9.68,0.4,9.61,14.77,0.35,8.0,0.55,167.15,0.78,0.825,3,9,0.942,0.894,0.576,0.0,0.451,29.7,0.314
5.13,4.88,4.2,0.15,3.9,10.26,0.58,6.0,0.88,68.54,0.97,0.562,2,1,0.588,0.047,0.675,1.0,0.77,62.1,0.578
3.07,0.42,10.72,0.57,1.7,3.34,0.82,4.0,1.0,16.96,0.62,0.896,9,3,0.768,0.423,0.924,0.0,0.642,60.0,0.468
7.76,0.49,0.78,0.04,6.86,19.9,0.35,8.0,0.55,48.04,0.91,0.801,14,2,0.638,0.044,0.922,0.0,0.462,50.6,0.488
2.73,1.69,1.93,0.07,1.92,6.5,0.82,4.0,1.0,154.9,0.85,0.659,6,5,0.789,0.885,0.937,1.0,0.876,65.9,0.564
8.91,2.86,4.78,0.21,8.32,15.91,0.58,6.0,0.88,81.02,0.62,0.371,13,3,0.535,0.933,0.736,0.0,0.87,40.5,0.344
0.35,4.26,17.28,0.67,-0.8,0.34,0.82,4.0,1.0,73.22,0.86,0.267,2,7,0.523,0.259,0.678,1.0,0.729,53.2,0.366
0.81,0.21,17.98,0.94,-1.14,0.63,1.0,2.0,0.95,178.97,0.66,0.678,6,4,0.829,0.108,0.524,1.0,0.913,59.6,0.486
5.08,0.74,9.2,0.42,3.75,6.6,1.0,2.0,0.95,126.66,0.96,0.392,9,5,0.713,0.262,0.757,1.0,0.55,55.3,0.51
2.85,5.21,7.5,0.28,1.92,4.52,0.58,6.0,0.88,133.78,0.95,0.935,3,9,0.517,0.259,0.712,0.0,0.694,65.2,0.531
5.5,4.87,1.74,0.09,4.93,12.5,0.35,8.0,0.55,94.02,1.0,0.798,11,10,0.548,0.395,0.618,1.0,0.694,56.0,0.553
5.35,2.58,12.54,0.53,4.31,6.08,0.82,4.0,1.0,92.2,0.81,0.704,3,6,0.63,0.261,0.582,0.0,0.42,54.6,0.46
0.77,3.04,8.6,0.4,-0.47,1.03,0.82,4.0,1.0,69.91,0.86,0.384,3,8,0.492,0.683,0.436,1.0,0.48,51.8,0.397
1.07,2.57,5.9,0.25,0.25,1.78,0.82,4.0,1.0,3.37,0.56,0.673,10,3,0.608,0.971,0.545,0.0,0.535,50.5,0.338
7.54,4.9,10.02,0.45,6.42,9.42,0.58,6.0,0.88,10.9,0.91,0.299,1,5,0.617,0.865,0.684,1.0,0.564,36.0,0.409
7.38,6.37,3.46,0.15,6.46,14.76,0.58,6.0,0.88,77.68,0.66,0.793,9,7,0.914,0.783,0.895,0.0,0.835,54.1,0.387
2.39,0.77,10.95,0.54,1.55,2.69,1.0,2.0,0.95,125.67,0.85,0.202,6,2,0.543,0.294,0.959,1.0,0.62,72.2,0.648
3.81,1.23,5.69,0.3,3.24,5.86,0.35,8.0,0.55,16.07,0.68,0.984,3,6,0.933,0.852,0.873,1.0,0.686,46.9,0.447
0.38,1.99,9.66,0.51,-0.88,0.44,1.0,2.0,0.95,176.79,0.77,0.52,18,3,0.554,0.079,0.735,1.0,0.63,68.4,0.431
4.43,6.56,7.35,0.36,3.68,6.24,0.58,6.0,0.88,146.53,0.58,0.744,6,1,0.558,0.251,0.827,1.0,0.566,59.5,0.592
10.01,4.71,8.3,0.39,8.67,13.53,0.35,8.0,0.55,32.05,0.99,0.951,6,5,0.518,0.672,0.803,0.0,0.667,44.6,0.35
0.78,4.48,7.73,0.37,-0.15,1.08,0.58,6.0,0.88,118.09,0.7,0.188,7,2,0.509,0.944,0.489,1.0,0.53,44.2,0.435
7.96,5.48,14.68,0.78,6.56,7.04,0.35,8.0,0.55,139.69,0.89,0.281,10,11,0.79,0.742,0.684,0.0,0.471,42.3,0.338
6.21,3.96,6.37,0.35,5.15,8.87,0.82,4.0,1.0,144.61,0.58,0.795,8,1,0.585,0.715,0.513,1.0,0.734,65.0,0.527
2.26,3.94,5.96,0.29,1.46,3.53,0.82,4.0,1.0,8.37,0.96,0.715,4,9,0.487,0.873,0.656,1.0,0.674,49.8,0.462
2.34,1.16,12.06,0.56,1.31,2.57,0.82,4.0,1.0,11.52,0.79,0.828,12,12,0.485,0.603,0.526,0.0,0.36,58.7,0.443
2.55,3.95,2.65,0.12,1.75,5.43,0.58,6.0,0.88,119.67,0.94,0.749,14,10,0.73,0.776,0.913,0.0,0.543,70.3,0.46
6.34,0.51,15.12,0.61,5.26,6.6,0.82,4.0,1.0,43.39,0.91,0.869,18,12,0.961,0.71,0.502,0.0,0.92,59.1,0.466
2.16,2.11,10.22,0.54,0.54,2.43,0.35,8.0,0.55,177.39,0.85,0.525,13,3,0.95,0.567,0.97,0.0,0.798,59.7,0.421
1.22,3.6,0.27,0.01,0.2,3.39,0.82,4.0,1.0,4.9,0.86,0.417,14,7,0.511,0.91,0.695,1.0,0.8,54.8,0.505
2.08,2.56,1.67,0.09,1.12,4.73,0.58,6.0,0.88,161.8,0.68,0.353,8,11,0.95,0.59,0.838,1.0,0.524,75.0,0.632
1.74,1.4,15.59,0.65,0.13,1.74,0.82,4.0,1.0,142.64,0.57,0.239,1,8,0.893,0.404,0.506,1.0,0.865,61.7,0.566
5.23,0.7,0.35,0.01,4.6,14.53,0.35,8.0,0.55,175.1,0.85,0.451,3,2,0.457,0.647,0.931,1.0,0.897,58.5,0.575
7.41,0.06,8.05,0.38,6.44,10.15,0.82,4.0,1.0,147.59,0.96,0.305,16,1,0.727,0.015,0.848,0.0,0.621,61.1,0.478
3.05,3.21,10.16,0.46,2.01,3.77,0.82,4.0,1.0,83.72,0.56,0.272,14,9,0.744,0.898,0.728,1.0,0.683,55.1,0.51
2.23,0.85,10.64,0.54,1.05,2.51,1.0,2.0,0.95,15.8,0.75,0.408,8,3,0.462,0.087,0.65,1.0,0.636,64.6,0.616
3.07,1.37,1.42,0.05,2.12,7.67,0.82,4.0,1.0,176.51,0.81,0.938,3,8,0.641,0.51,0.963,0.0,0.64,71.0,0.524
3.84,1.73,3.33,0.18,2.95,7.25,0.82,4.0,1.0,143.91,0.84,0.187,3,10,0.828,0.403,0.48,1.0,0.462,58.6,0.594
5.04,0.54,0.96,0.04,3.9,12.92,0.58,6.0,0.88,159.33,0.87,0.398,5,2,0.886,0.347,0.57,1.0,0.875,59.5,0.575
0.37,2.56,2.27,0.09,-0.39,0.84,0.82,4.0,1.0,2.01,0.81,0.941,2,2,0.785,0.22,0.808,1.0,0.608,63.3,0.524
6.27,1.26,15.56,0.56,5.03,6.89,0.82,4.0,1.0,165.68,0.82,0.893,9,1,0.481,0.485,0.778,0.0,0.451,56.9,0.418
1.05,0.95,7.01,0.26,-0.25,1.72,1.0,2.0,0.95,143.48,0.72,0.507,2,6,0.95,0.641,0.837,0.0,0.408,57.5,0.424
6.38,3.9,1.97,0.08,5.98,14.84,0.82,4.0,1.0,35.1,0.59,0.886,12,4,0.952,0.862,0.656,0.0,0.476,48.2,0.297
6.97,6.0,0.08,0.0,5.95,19.91,0.35,8.0,0.55,149.74,0.84,0.883,10,9,0.827,0.699,0.532,0.0,0.852,55.8,0.419
6.54,1.84,2.37,0.12,5.36,13.91,0.82,4.0,1.0,138.35,0.74,0.746,17,3,0.968,0.202,0.58,0.0,0.484,66.4,0.53
1.68,0.15,6.33,0.27,0.64,2.71,1.0,2.0,0.95,41.48,0.63,0.495,10,4,0.965,0.784,0.822,1.0,0.511,70.2,0.597
8.32,1.04,9.54,0.43,7.41,10.67,0.58,6.0,0.88,99.13,0.57,0.458,7,10,0.74,0.99,0.978,1.0,0.936,42.6,0.453
2.62,1.04,16.58,0.64,1.19,2.65,0.82,4.0,1.0,153.27,0.73,0.181,2,6,0.627,0.446,0.658,1.0,0.794,59.7,0.561
3.57,2.44,7.15,0.36,2.8,5.03,0.58,6.0,0.88,148.79,0.82,0.564,11,6,0.507,0.493,0.806,0.0,0.77,59.5,0.507
5.25,2.19,8.33,0.36,4.31,7.39,1.0,2.0,0.95,108.98,0.86,0.185,10,12,0.949,0.682,0.431,0.0,0.456,50.0,0.399
8.76,2.11,16.56,0.8,6.91,7.62,0.58,6.0,0.88,123.5,1.0,0.898,5,3,0.682,0.314,0.86,1.0,0.899,49.3,0.501
8.82,6.17,0.91,0.04,8.24,22.62,0.35,8.0,0.55,155.58,0.97,0.911,12,11,0.814,0.588,0.655,1.0,0.37,50.4,0.532
1.46,3.93,3.44,0.18,0.52,2.75,0.35,8.0,0.55,10.81,0.71,0.756,12,11,0.465,0.231,0.836,0.0,0.38,61.9,0.44
7.28,3.41,0.22,0.01,6.53,20.22,0.82,4.0,1.0,2.53,0.71,0.941,7,7,0.474,0.612,0.964,1.0,0.391,51.3,0.496
5.27,2.18,6.06,0.25,4.01,8.78,1.0,2.0,0.95,172.85,0.71,0.772,8,6,0.814,0.34,0.427,1.0,0.395,57.0,0.59
3.67,0.91,7.71,0.28,2.44,5.83,1.0,2.0,0.95,12.46,0.8,0.731,16,5,0.473,0.695,0.54,1.0,0.666,54.7,0.465
